ID,Name,Gender,Age,Education,City,JoiningYear,Department,PaymentTier,Salary
10000,Gwen Blake,Female,34,Bachelors,New York City,2017,HR,3,112000
10001,Emilia Mcconnell,Female,28,Bachelors,Phoenix,2013,Sales,1,60600
10002,Bradley Duffy,Male,38,Bachelors,Indianapolis,2014,IT,3,102600
10003,Salem Christian,Others,27,Masters,Fort Worth,2016,Finance & Accounting,3,105800
10004,Shannon Allen,Female,24,Masters,Indianapolis,2017,Sales,3,110300
10005,Phoebe Koch,Female,22,Bachelors,San Diego,2016,Legal,3,104200
10006,Jonah Wyatt,Male,38,Bachelors,Dallas,2015,Marketing,3,111400
10007,Leona Lloyd,Others,34,Bachelors,Fort Worth,2016,HR,3,115900
10008,Elena Delaney,Female,23,Bachelors,Phoenix,2016,HR,3,108800
10009,Karina Glass,Female,37,Masters,Philadelphia,2017,Marketing,2,93800
10010,Graham Simmons,Male,27,Masters,Austin,2012,Customer Service,3,110600
10011,Helena Valencia,Female,34,Bachelors,Boston,2016,Procurement & Supply Chain,3,112600
10012,Raphael Ryan,Male,32,Bachelors,Phoenix,2018,Operations,3,118800
10013,Faith Cross,Female,39,Bachelors,San Diego,2016,Finance & Accounting,3,111900
10014,Nina Moore,Female,37,Bachelors,Boston,2012,Customer Service,3,107500
10015,Jeremy Rivers,Male,29,Bachelors,Denver,2017,Customer Service,1,66200
10016,Simon Sims,Male,34,Bachelors,San Antonio,2014,R&D,3,118000
10017,Dean Roman,Male,34,Bachelors,Charlotte,2014,Sales,3,99200
10018,Kylie Solomon,Female,30,Bachelors,Austin,2015,Marketing,2,93600
10019,Sutton Price,Others,22,Bachelors,Chicago,2016,R&D,2,83600
10020,Aria Duncan,Female,37,Bachelors,Houston,2012,IT,3,104300
10021,Theodore Pollard,Male,28,Masters,Jacksonville,2017,HR,2,74300
10022,Clara Thomas,Female,36,Bachelors,Philadelphia,2017,Customer Service,2,78000
10023,Gianna Keith,Female,27,Bachelors,Austin,2015,IT,3,102400
10024,Raphael Cochran,Male,29,Bachelors,Jacksonville,2017,Operations,3,116700
10025,Hailey Gregory,Female,22,Bachelors,Columbus,2013,R&D,3,117400
10026,Alexander Adkins,Male,37,Bachelors,Houston,2016,R&D,3,115100
10027,Matthew Thompson,Male,23,Bachelors,Houston,2015,IT,3,98400
10028,Hector Gonzales,Male,31,Bachelors,New York City,2013,Customer Service,2,71500
10029,Anika Jordan,Female,30,Masters,San Jose,2017,Procurement & Supply Chain,2,79900
10030,Maya Ross,Female,25,PHD,Fort Worth,2013,Finance & Accounting,3,111300
10031,Lincoln Martinez,Male,23,Bachelors,Chicago,2014,IT,3,117500
10032,Jamie Howell,Male,26,Bachelors,Chicago,2018,R&D,3,104100
10033,Orion Wheeler,Others,40,Bachelors,Charlotte,2016,Procurement & Supply Chain,3,115000
10034,Martin Schultz,Male,37,Bachelors,"Washington, D.C.",2017,Customer Service,2,88000
10035,Tiana Nelson,Others,30,Bachelors,San Antonio,2014,Customer Service,1,43700
10036,Evan Compton,Male,29,Bachelors,Indianapolis,2012,Finance & Accounting,3,98200
10037,Kyle Denton,Male,34,Bachelors,New York City,2018,HR,2,81200
10038,Flynn Copeland,Others,29,Bachelors,Austin,2017,Finance & Accounting,2,85400
10039,Drake Brandt,Male,30,Bachelors,San Antonio,2014,Customer Service,3,105000
10040,Charlie Dennis,Male,36,Bachelors,Philadelphia,2015,Marketing,3,113900
10041,Alana Wheeler,Female,23,Masters,Jacksonville,2017,Marketing,2,82800
10042,Cleo Knox,Female,30,Bachelors,Columbus,2013,Procurement & Supply Chain,3,101300
10043,Osiris Irwin,Others,36,Bachelors,Boston,2014,Legal,3,115600
10044,Sarah Holt,Female,39,Bachelors,Jacksonville,2015,Customer Service,3,108200
10045,Jennifer Lamb,Female,23,Bachelors,Denver,2014,HR,3,106000
10046,River Montgomery,Male,27,PHD,Denver,2012,Procurement & Supply Chain,3,100100
10047,Malachi Chen,Male,35,Masters,Los Angeles,2013,HR,3,115600
10048,Amir Lucas,Others,34,Masters,Phoenix,2017,Sales,2,82200
10049,August Hall,Male,30,Bachelors,Denver,2013,Legal,3,118800
10050,Kiara Morrow,Female,34,PHD,New York City,2017,Procurement & Supply Chain,3,115400
10051,Georgia Baker,Female,26,Bachelors,Fort Worth,2015,Operations,2,85800
10052,Mabel Stanton,Female,34,Bachelors,Philadelphia,2016,Sales,3,106800
10053,Jasper Hebert,Male,31,Bachelors,Phoenix,2014,Finance & Accounting,3,106000
